"language","k","rep","mae_all","err_all","mae_heldout","err_heldout","sd_language"
"ita",2,1,0.062214511330169,0.055912347920876,0.062192632694942,0.0560521889359065,0.352652143083568
"ita",2,2,0.0955246745898304,-0.0919952271489761,0.0960166935065444,-0.0927729675851776,0.234862904548825
"ita",2,3,0.043077541341352,0.0283995208207851,0.042877562441446,0.0276343253326621,0.320578155102248
"ita",5,1,0.0415688935093334,0.0216146234140306,0.0407593858271682,0.0206660521733116,0.299452362040988
"ita",5,2,0.0646350510348071,-0.025796951976625,0.0634593933540999,-0.0245447876966567,0.229943775580856
"ita",5,3,0.0425639109129401,0.0295105137973333,0.041309092766607,0.0266677534026578,0.330319198073156
"ita",10,1,0.0284166807459527,0.0101317352146565,0.0276270395537164,0.0068030983391415,0.285723083105891
"ita",10,2,0.0598845063970497,-0.0383479378428115,0.0633249990300801,-0.0437811812557914,0.227620044904651
"ita",10,3,0.0334407186573756,0.0180472230087122,0.0330658067808851,0.0172448935284574,0.316081667811816
"ita",20,1,0.0187319416268727,-0.00928609494348676,0.0191385322785851,-0.00941441651208907,0.241278822019711
"ita",20,2,0.0512708116127645,-0.0422586889078044,0.0562070942071217,-0.0504349146297105,0.222801507714453
"ita",20,3,0.0227459845817538,-0.00220663485578387,0.0270971311392892,-0.0168412505715749,0.242144840771706
"jpn",1,1,0.0527934614777447,0.0189257591459919,0.052907441684846,0.0200982973834746,0.23901112106497
"jpn",1,2,0.21039767311033,-0.209843397813418,0.210106995236118,-0.209566858930176,0.436670270680423
"jpn",1,3,0.0867538565192897,0.082801181693403,0.0857302869161009,0.0816499932857353,0.247942864701926
"jpn",2,1,0.0583253605232108,0.0492195677503333,0.0587174050972777,0.0501715924453587,0.241123573035359
"jpn",2,2,0.0994964630549346,-0.0868593042022178,0.0991409975799964,-0.0866686698088504,0.305424412206447
"jpn",2,3,0.0542555031630662,0.0471752363194026,0.0536008328173243,0.0462049438022962,0.239924355781773
"jpn",5,1,0.0867559914171223,0.0867559914171223,0.0855264584731904,0.0855264584731904,0.261098736063347
"jpn",5,2,0.0445172753533013,-0.0259930414913135,0.0435636608798333,-0.022141973262207,0.264964419024643
"jpn",5,3,0.0689524600891518,0.0689524600891518,0.0661211070461033,0.065978221922676,0.253712362886346
"jpn",10,1,0.0552260638587605,0.0552260638587605,0.0605013838894896,0.0605013838894897,0.238812744108502
"jpn",10,2,0.0319326373518765,0.00647591671344583,0.033238022916505,0.01364063090851,0.246272165774073
"jpn",10,3,0.034840460472502,-0.0213974806630564,0.0369584333973931,-0.0266963702031692,0.265857029086737
"jpn",20,1,0.0346186182152981,0.0300381195828265,0.0381530596805141,0.0357091604898918,0.2408487251688
"jpn",20,2,0.031752274577095,-0.024030290564272,0.0235746817912522,-0.00417928023121883,0.265826644432419
"jpn",20,3,0.0340411982023117,-0.0247688554878005,0.0413343860366626,-0.0354033352217741,0.269644897922411
"mar",1,1,0.162424754271752,-0.157997298693576,0.163757071190091,-0.159389494635627,0.398856486493181
"mar",1,2,0.133975620843615,0.133727428727925,0.13283025551151,0.132581083575373,0.334694025007232
"mar",1,3,0.104849847368145,-0.0816733183557552,0.105852565972549,-0.0835091822142931,0.299819369507074
"mar",2,1,0.075684886592242,-0.0108374858918477,0.075705245660705,-0.00995618292091821,0.253957136140646
"mar",2,2,0.105959345416746,0.105596069008763,0.106471487552267,0.106125403244393,0.299945422365112
"mar",2,3,0.0534415019556619,-0.00820085880170396,0.0537148417291661,-0.00924143345469763,0.254094117702724
"mar",5,1,0.055289101897188,-0.00135498859274874,0.0552750539040691,-0.000909261034311937,0.252109594475195
"mar",5,2,0.0611388472823297,0.060699972255647,0.0581580161416329,0.057670782078483,0.262755960633209
"mar",5,3,0.0456139528590673,0.0295517481793057,0.0445687457185457,0.0274466674356111,0.250528070244038
"mar",10,1,0.0417157613394707,0.0166010874421579,0.0412382172811334,0.0150439381923847,0.248595535562635
"mar",10,2,0.0310576343818743,-0.0175297026353394,0.0325746276383154,-0.0203972287093758,0.257961859123713
"mar",10,3,0.0327379934224328,0.0211230907018087,0.0343376003181408,0.0257397321070012,0.249114044134363
"mar",20,1,0.0243862780738522,-0.0150066268517665,0.0287666462502021,-0.0234133569086801,0.257297709286258
"mar",20,2,0.024231835033948,0.0202726109481864,0.0207480818996589,0.0152102552740055,0.248383567531171
"mar",20,3,0.0239207663559676,-0.00588422670198641,0.0245519288227905,-0.000624789224231481,0.251381279096791
"nld",1,1,0.0578378502546796,0.0380977627519946,0.057345952080805,0.0367806561013573,0.280564913153041
"nld",1,2,0.177194469502397,-0.176572109439183,0.178444547171383,-0.177885237484937,0.398245232020935
"nld",1,3,0.148560641608476,-0.147552103547042,0.148829052797913,-0.147891524989979,0.354055927149837
"nld",2,1,0.0618809222131909,0.00538546569687759,0.0618878672298939,0.00502426357621466,0.264945707043732
"nld",2,2,0.0631756048287507,-0.0464067867346498,0.0632345154984744,-0.0471749594063028,0.260072049360291
"nld",2,3,0.0905040273999067,-0.0708776897884167,0.0903581241703687,-0.0710867847319839,0.26664625654465
"nld",5,1,0.211096639594291,-0.211096639594291,0.209013606642397,-0.209013606642397,0.450317405053729
"nld",5,2,0.0441339852439303,0.0102186941159274,0.0438443647433814,0.0101803466144974,0.26130619355265
"nld",5,3,0.0570315774375682,-0.0127657597838625,0.0575358134587297,-0.0147770887783693,0.252595150245321
"nld",10,1,0.11595873323721,-0.115488689979751,0.111982154385607,-0.111471808567896,0.331849227223739
"nld",10,2,0.0404336874670501,-0.00568586528040205,0.0419566218398201,-0.0112951726731058,0.250889242132933
"nld",10,3,0.0402432413469658,-0.0168605192792931,0.0403425009394804,-0.0153027734498582,0.25012664809908
"nld",20,1,0.0464200365790604,-0.043312089356802,0.0404403153550135,-0.0364240574122001,0.266653697741292
"nld",20,2,0.0247395413819897,0.00207594804075384,0.0250318213935691,-0.000633448637291867,0.250675844950251
"nld",20,3,0.0346916029827379,-0.00512840875131426,0.033602847266092,-0.000443597554842579,0.25074778560156
"rus",1,1,0.0714896997514407,0.0599152476997042,0.0708574451364423,0.0589883992969527,0.220741906518229
"rus",1,2,0.122319139259138,0.122319139259138,0.122317511492737,0.122317511492737,0.296867986607208
"rus",1,3,0.0727537702403943,0.0686410274167607,0.0721307683117392,0.0679318360489829,0.22388958258909
"rus",2,1,0.0619741613795661,0.0527234791766111,0.0605005956461031,0.0499373264268406,0.217837822155205
"rus",2,2,0.0756492799666196,0.074414175761571,0.0764857610649119,0.0755388715090823,0.227426461718604
"rus",2,3,0.0913026548181702,0.0844894430293468,0.0907245273578555,0.0838848840177671,0.244885616639774
"rus",5,1,0.0879440673914691,0.0877093380068076,0.0844656359897871,0.0841273897838648,0.259130639243887
"rus",5,2,0.0471732444453638,0.0274247551683855,0.0476760628805291,0.0300288257928657,0.217508118846771
"rus",5,3,0.0454371641588228,0.0181897966346559,0.0458061047010543,0.022200644462481,0.233010462915863
"rus",10,1,0.0499634428960848,0.0485497405206361,0.0558755344930612,0.0547592446503894,0.214882160834968
"rus",10,2,0.0413839219175405,0.0270159140721953,0.0413782510819089,0.0273129482968807,0.21639972457491
