model,language,tokenizer_fertility,english_fertility_tokens_per_character
Olmo-3.1-32B-Instruct,deu,0.3596510748141884,0.2992618987019598
Olmo-3.1-32B-Instruct,eng,0.2992618987019598,0.2992618987019598
Olmo-3.1-32B-Instruct,eng_metric,0.2981002425222312,0.2992618987019598
Olmo-3.1-32B-Instruct,est,0.4779027325638749,0.2992618987019598
Olmo-3.1-32B-Instruct,fra,0.3641796369798867,0.2992618987019598
Olmo-3.1-32B-Instruct,hin,1.2682571572074337,0.2992618987019598
Olmo-3.1-32B-Instruct,isl,0.5279846264712947,0.2992618987019598
Olmo-3.1-32B-Instruct,ita,0.3816052297076448,0.2992618987019598
Olmo-3.1-32B-Instruct,jpn,1.014064190407501,0.2992618987019598
Olmo-3.1-32B-Instruct,mar,1.2391908156652165,0.2992618987019598
Olmo-3.1-32B-Instruct,nld,0.3823884197828709,0.2992618987019598
Olmo-3.1-32B-Instruct,nob,0.4104608595356301,0.2992618987019598
Olmo-3.1-32B-Instruct,rus,0.5740723300056508,0.2992618987019598
Olmo-3.1-32B-Instruct,ukr,0.7268559666931749,0.2992618987019598
Olmo-3.1-32B-Instruct,zho,1.4850291804110631,0.2992618987019598
Qwen2.5-0.5B-Instruct,ara,0.5197614136796923,0.3110715194706032
Qwen2.5-0.5B-Instruct,dan,0.4249875807252856,0.3110715194706032
Qwen2.5-0.5B-Instruct,deu,0.3681071698784993,0.3110715194706032
Qwen2.5-0.5B-Instruct,eng,0.3110715194706032,0.3110715194706032
Qwen2.5-0.5B-Instruct,eng_metric,0.3102768795472918,0.3110715194706032
Qwen2.5-0.5B-Instruct,est,0.4884087994475683,0.3110715194706032
Qwen2.5-0.5B-Instruct,fra,0.372296302903269,0.3110715194706032
Qwen2.5-0.5B-Instruct,hin,1.1958312405826217,0.3110715194706032
Qwen2.5-0.5B-Instruct,isl,0.5361037713187605,0.3110715194706032
Qwen2.5-0.5B-Instruct,ita,0.3917287089159252,0.3110715194706032
Qwen2.5-0.5B-Instruct,jpn,0.7281824738550307,0.3110715194706032
Qwen2.5-0.5B-Instruct,mar,1.1631330432367373,0.3110715194706032
Qwen2.5-0.5B-Instruct,nld,0.3935232439454393,0.3110715194706032
Qwen2.5-0.5B-Instruct,nob,0.4230479915751466,0.3110715194706032
Qwen2.5-0.5B-Instruct,rus,0.4443868901864758,0.3110715194706032
Qwen2.5-0.5B-Instruct,ukr,0.6400336810590822,0.3110715194706032
Qwen2.5-0.5B-Instruct,uncorrected_isl,0.5361037713187605,0.3110715194706032
Qwen2.5-0.5B-Instruct,zho,0.9554681552905354,0.3110715194706032
Qwen2.5-1.5B-Instruct,ara,0.5197614136796923,0.3110715194706032
Qwen2.5-1.5B-Instruct,dan,0.4249875807252856,0.3110715194706032
Qwen2.5-1.5B-Instruct,deu,0.3681071698784993,0.3110715194706032
Qwen2.5-1.5B-Instruct,eng,0.3110715194706032,0.3110715194706032
Qwen2.5-1.5B-Instruct,eng_metric,0.3102768795472918,0.3110715194706032
Qwen2.5-1.5B-Instruct,est,0.4884087994475683,0.3110715194706032
Qwen2.5-1.5B-Instruct,fra,0.372296302903269,0.3110715194706032
Qwen2.5-1.5B-Instruct,hin,1.1958312405826217,0.3110715194706032
Qwen2.5-1.5B-Instruct,isl,0.5361037713187605,0.3110715194706032
